iter	MAPE	RMSE	R2	MAE
267	0.260161294	465862.9156	0.9339404682	212887.0673
268	0.2601373095	465644.2208	0.9340024757	212865.905
269	0.2593643995	465389.6321	0.9340746236	212565.0847
270	0.2591524594	464833.2487	0.9342321598	212198.3656
271	0.2590179915	464110.2698	0.9344365848	212047.8326
272	0.2579566067	463712.1889	0.9345490079	211679.1603
273	0.2579535755	463668.1022	0.9345614526	211671.484
274	0.2579184009	463412.1143	0.934633689	211640.3549
275	0.2578453403	463026.8086	0.9347423419	211534.1596
276	0.2570329126	462794.8176	0.9348077178	211399.5593
277	0.2560786848	462453.4657	0.9349038525	211113.2938
278	0.2560545345	462066.3307	0.9350127951	211061.5229
279	0.2560632063	461703.2485	0.9351148862	211007.7366
280	0.2559979933	461202.1077	0.9352556646	210861.2105
281	0.2560070888	461165.7297	0.9352658778	210858.5695
282	0.2553628985	460853.0083	0.9353536418	210544.8091
283	0.2544182549	460639.5316	0.935413519	210279.0985
284	0.2544263695	460605.937	0.9354229393	210277.9565
285	0.2543394104	460215.4499	0.9355323857	210192.8308
286	0.2543322288	460181.8782	0.9355417909	210190.6593
287	0.2541543013	459246.0729	0.935803683	210016.126
288	0.2538295318	458898.8618	0.935900717	209906.3097
289	0.2536721964	458431.9174	0.9360310968	209719.5134
290	0.2526186508	457980.0066	0.9361571526	209209.0681
291	0.2523134337	456954.0711	0.936442865	208740.7857
292	0.2515449268	456640.5369	0.9365300532	208443.926
293	0.2514387879	456170.4436	0.9366606655	208347.5467
294	0.2514052362	455700.8952	0.9367909921	208233.5738
295	0.2505653565	455321.9187	0.9368960819	207809.5756
296	0.2504532159	454821.5607	0.9370346968	207655.3935
297	0.2500744154	454564.1751	0.9371059414	207566.2648
298	0.2499693637	454110.4711	0.9372314288	207454.4874
299	0.2497682902	453613.1561	0.9373688344	207154.4247
300	0.2488919069	453335.3222	0.9374455329	206816.6175
301	0.2480777872	452883.4475	0.9375701766	206473.0664
302	0.2472293636	452600.1138	0.9376482671	206170.599
303	0.2470888663	452264.285	0.9377407626	205881.1004
304	0.2470546528	451722.2729	0.9378899012	205564.1853
305	0.2462998321	451431.2283	0.9379699105	205285.971
306	0.2462914662	451396.3323	0.9379795001	205283.054
307	0.24619051	451333.2545	0.9379968323	205267.9417
308	0.2461812316	451299.8379	0.9380060133	205267.3273
309	0.2453878982	451096.5739	0.9380618446	205065.5281
310	0.2452984621	450678.874	0.9381764966	204843.0385
311	0.2453216679	450569.6029	0.9382064723	204824.2833
312	0.2453168767	450541.0883	0.9382142934	204822.4147
313	0.2452207078	449906.6324	0.9383881852	204713.2905
314	0.2446583649	449510.6302	0.9384965974	204476.8306
315	0.2444520277	448955.8579	0.9386483149	204276.4561
316	0.2444070749	448655.6642	0.9387303329	204250.4862
317	0.2443886185	448597.1065	0.9387463255	204239.5129
318	0.2437916658	448271.6663	0.9388351677	204045.9814
319	0.2437940388	448241.744	0.938843333	204044.1654
320	0.2437136416	447520.4839	0.9390399875	203889.7354
321	0.2431852233	447203.0412	0.9391264391	203585.139
322	0.2430002391	446735.0839	0.9392537698	203246.1156
323	0.2429632859	446478.2308	0.9393236025	203173.0104
324	0.2429963594	446089.4953	0.9394292149	202930.3008
325	0.2429864608	445930.797	0.9394723038	202895.6672
326	0.2428778159	445644.2	0.9395500804	202796.8935
327	0.2425146297	445243.2658	0.9396588018	202427.2981
328	0.2425053571	445152.9589	0.9396832768	202376.5997
329	0.2424979083	444918.8495	0.9397467022	202345.3254
330	0.2424387062	444583.1391	0.9398375954	202208.848
331	0.2415062135	444310.1528	0.9399114554	201967.3361
332	0.2408813491	443458.534	0.9401415807	201732.2489
333	0.2408495611	443232.4019	0.9402026121	201686.5505
334	0.2402603399	442891.2971	0.940294615	201486.0767
335	0.2401854994	442656.7625	0.9403578326	201409.6962
336	0.2400406282	442169.5535	0.9404890504	201108.6857
337	0.2397769419	441821.5948	0.940582676	200969.1637
338	0.239789945	441385.7641	0.9406998415	200732.6756
339	0.2398262445	441077.2305	0.9407827155	200633.28
340	0.239592495	440316.3943	0.940986833	200408.4274
341	0.2395725112	440180.8693	0.9410231547	200376.9613
342	0.239385326	439599.5308	0.9411788311	200126.3788
343	0.2391701012	439308.5151	0.9412566847	199990.2417
344	0.2389232905	438986.777	0.9413426974	199734.4637
345	0.2389159303	438960.0331	0.9413498442	199732.0062
346	0.2387608768	438624.0151	0.9414396016	199622.903
347	0.2386409646	438054.0299	0.9415916994	199517.2008
348	0.2384092878	437779.2374	0.9416649558	199367.8176
349	0.2382937254	437197.3261	0.9418199347	199232.6381
350	0.2380770249	436927.5518	0.941891713	198986.4122
351	0.2380626494	436437.3017	0.9420220394	198878.9505
352	0.2374792532	436156.0448	0.9420967418	198583.8357
353	0.2374394749	435860.6727	0.9421751413	198502.8792
354	0.2374295304	435837.6024	0.9421812626	198501.0297
355	0.2373852345	435415.4802	0.9422932068	198416.7147
356	0.23735593	435001.1946	0.9424029673	198291.6548
357	0.2371367933	434751.1986	0.9424691506	198241.9
358	0.2371055234	434448.2758	0.9425492945	198149.4842
359	0.2369028136	434144.2507	0.9426296739	197842.9938
360	0.2368872692	434102.3308	0.9426407524	197837.1006
361	0.236763547	433721.0952	0.9427414558	197590.0138
362	0.2366510613	433161.2774	0.9428891713	197379.6312
363	0.2366527834	433138.5964	0.942895152	197377.8623
364	0.2366307374	432723.5241	0.9430045455	197247.4592
365	0.236504594	432405.1642	0.9430883791	197141.9782
366	0.2365059919	432381.9961	0.9430944776	197140.3798
367	0.2363349159	431881.6191	0.94322611	196848.105
368	0.2358184874	431608.0527	0.9432980117	196605.1801
369	0.2358057167	431409.4565	0.9433501803	196568.0768
370	0.2358700617	431059.8669	0.9434419547	196515.5437
371	0.2351407347	430760.1218	0.9435205846	196162.7882
372	0.2349118416	430522.4782	0.9435828851	196052.9459
373	0.2344434316	430177.535	0.9436732539	195907.3736
374	0.2339882423	429930.3078	0.9437379783	195718.118
375	0.2338529378	429217.5409	0.9439243735	195575.3028
376	0.2338930703	429130.5321	0.9439471059	195568.7711
377	0.2338096756	428841.329	0.9440226317	195485.8863
378	0.2333830807	428425.6335	0.9441311019	195312.6622
379	0.2328930049	428158.9807	0.9442006261	195141.3607
380	0.2326914852	427891.585	0.9442703005	194955.6048
381	0.2326870068	427541.218	0.9443615285	194925.9948
382	0.2326879396	427519.0179	0.9443673064	194924.0762
383	0.2326834668	427194.9459	0.9444516169	194721.1125
384	0.2326706462	427077.1727	0.9444822409	194711.043
385	0.232611866	426679.8771	0.9445854854	194656.2423
386	0.232352887	426480.3694	0.9446372949	194514.8791
387	0.2323644001	425995.3098	0.9447631574	194402.0071
388	0.2321713463	425750.6575	0.9448265851	194232.1728
389	0.2319423219	425523.5521	0.944885431	194150.2629
390	0.2319394197	425191.9837	0.9449712882	194121.2957
391	0.2318649231	424786.9748	0.9450760714	193888.5778
392	0.2317645905	424281.9877	0.945206581	193769.2946
393	0.2317731	424032.6178	0.9452709713	193720.5033
394	0.2317875041	423953.7771	0.945291321	193685.6616
395	0.2317794775	423935.9823	0.9452959136	193683.7767
396	0.2317814118	423917.9023	0.9453005795	193682.4858
397	0.2311239732	423644.6685	0.9453710692	193357.2793
398	0.2311083961	423535.0697	0.945399331	193344.9734
399	0.2305275835	423349.3981	0.9454471928	193168.6695
400	0.230444173	422573.8767	0.9456468771	192973.7206
401	0.230316793	422304.0069	0.9457162784	192886.8
402	0.2302943985	421996.9443	0.9457951904	192777.5217
403	0.2302924316	421679.9722	0.9458765889	192697.4872
404	0.2302783351	421575.2256	0.9459034745	192685.5648
405	0.2301821369	421214.7428	0.9459959492	192479.7703
406	0.2296998324	420635.3493	0.9461444154	192301.8053
407	0.2296474564	420350.1881	0.9462174113	192129.2344
408	0.2296493134	420042.7316	0.9462960588	192101.7693
409	0.2295888512	419587.2246	0.946412472	191860.347
410	0.2295876454	419554.4432	0.946420845	191855.3781
411	0.2295015115	419282.7061	0.9464902268	191741.9217
412	0.2294983621	419250.5066	0.9464984453	191739.4801
413	0.2291991396	418970.847	0.9465697975	191557.6754
414	0.2291807266	418644.133	0.9466530949	191368.9636
415	0.2288392611	418420.8952	0.9467099732	191319.9216
416	0.2288271967	418321.9233	0.9467351803	191309.5214
417	0.2285880528	417699.0061	0.9468936939	191138.1092
418	0.228610503	417274.0475	0.9470016975	190943.8714
419	0.2285982213	417180.1432	0.9470255486	190934.3019
420	0.2281083279	416988.1981	0.9470742846	190784.6505
421	0.2279884532	416564.0455	0.9471818999	190606.1232
422	0.2280077653	416193.0995	0.947275926	190425.993
423	0.2279459493	415958.3903	0.947335376	190355.168
424	0.2277337374	415428.3827	0.9474694993	190131.6287
425	0.2276075483	415310.075	0.9474994148	190079.6478
426	0.2271793128	415095.0833	0.9475537563	189857.6627
427	0.2271720915	415077.8854	0.947558102	189855.5639
428	0.227210424	414685.6594	0.9476571646	189677.1328
429	0.2270394648	414385.3044	0.9477329606	189460.5553
430	0.2270211032	414054.3335	0.9478164189	189399.0983
431	0.2265581134	413893.0532	0.9478570635	189200.292
432	0.2264186962	413549.7071	0.9479435383	189081.3076
433	0.2263822593	413284.6143	0.9480102552	188905.1298
434	0.2262249104	412994.8243	0.9480831387	188739.4143
435	0.225776046	412801.4208	0.9481317522	188571.0886
436	0.2257595381	412551.7775	0.9481944683	188546.6235
437	0.2252517281	412337.7619	0.9482482037	188326.4226
438	0.2250841514	411694.6578	0.9484095075	188081.9586
439	0.2250913272	411603.5478	0.9484323394	188064.9289
440	0.2250779321	411322.6633	0.9485026965	187880.7094
441	0.2250758908	411104.3698	0.9485573424	187845.856
442	0.2247398452	410903.2073	0.9486076742	187790.2145
443	0.2247394864	410874.9934	0.9486147314	187785.9968
444	0.2247574287	410551.0897	0.9486957163	187626.986
445	0.2246946344	410287.6943	0.9487615253	187566.5941
446	0.2246956642	410272.9529	0.9487652071	187565.1179
447	0.2243123983	410067.0095	0.9488166305	187372.1519
448	0.2242984946	409829.5216	0.9488758985	187348.7449
449	0.2242339714	409777.4701	0.948888884	187315.9633
450	0.22409418	409506.8603	0.9489563674	187162.7452
451	0.2240969992	409170.8848	0.9490400895	187098.0987
452	0.2240168673	408736.3828	0.9491482615	186997.5817
453	0.2240565047	408374.8281	0.9492381852	186835.645
454	0.2240742423	408060.2601	0.949316358	186770.0738
455	0.2239280594	407860.3645	0.9493660024	186633.701
456	0.223785397	407672.6306	0.9494126043	186576.2293
457	0.2237868364	407658.1002	0.9494162103	186574.6011
458	0.2237787521	407599.2933	0.9494308033	186569.2788
459	0.2237226117	407334.9963	0.9494963625	186388.1991
460	0.2232535954	407171.1037	0.949536995	186189.9188
461	0.2231960077	406923.1575	0.949598435	186135.2474
462	0.2231949317	406897.4219	0.94960481	186131.2668
463	0.2231754606	406597.7852	0.9496790041	186098.602
464	0.2227053414	406402.8671	0.9497272391	185897.2923
465	0.2226926129	406182.3749	0.9497817749	185874.7055
466	0.2226801232	405970.0349	0.9498342663	185852.701
467	0.2223347023	405821.1633	0.9498710517	185718.0519
468	0.2221077397	405597.8104	0.9499262157	185515.171
469	0.2220948721	405117.5194	0.9500447358	185284.9727
470	0.2221095218	404840.1951	0.9501131064	185243.2226
471	0.2221060971	404596.182	0.9501732259	185082.0574
472	0.2221050923	404571.8513	0.9501792185	185078.4189
473	0.2221040421	404548.0552	0.950185079	185074.8247
474	0.2220714172	403958.2361	0.9503302305	184982.0046
475	0.2220608253	403878.8568	0.9503497492	184973.3029
476	0.2219380639	403592.616	0.9504201014	184887.3185
477	0.2219542832	403306.029	0.9504904888	184826.4242
478	0.221859894	402953.3163	0.9505770483	184690.5099
479	0.2217871269	402314.9503	0.9507335178	184528.6321
480	0.221738961	402076.7206	0.9507918465	184363.0249
481	0.2217381257	402053.4972	0.9507975307	184359.5504
482	0.2217372424	402030.7828	0.9508030901	184356.1164
483	0.2213731455	401532.2092	0.9509250363	184220.7388
484	0.2213527233	401252.6349	0.9509933512	184161.3
485	0.2213501789	401006.5163	0.9510534518	184077.9675
486	0.2212138677	400832.5179	0.9510959188	184025.1967
487	0.2212418582	400575.325	0.9511586569	183989.6111
488	0.2211292404	400389.0554	0.9512040693	183868.5302
489	0.2211291935	400366.806	0.9512094923	183865.0603
490	0.2211287812	400344.9842	0.9512148108	183861.5918
491	0.2210268607	399691.8078	0.9513738703	183723.3108
492	0.2210304102	399674.3057	0.9513781288	183719.9331
493	0.2207153978	399498.6741	0.9514208519	183564.7819
494	0.2203858022	399348.931	0.9514572626	183399.6362
495	0.220389386	399331.7083	0.9514614496	183396.2517
496	0.2202904409	399154.5344	0.9515045108	183283.1587
497	0.2202868231	398698.8251	0.9516151808	183165.9905
498	0.2202861753	398677.6933	0.9516203097	183162.6447
